# RELIQUARY — Kartentexte Chinesisch (vereinfacht)
# Blöcke: "## Englischer Name" als Schlüssel, dann n/s/lN/tN.
# Archetype-Namen (verbindlich): Apocrypha=伪典 Archfiend=狱魔 Barrierstruck=障壁
# Deathpoem=挽诗 Deckay=朽库 Dragon Shrine=龙祠 Failsafe=保险 Fethaerbreese=羽风
# Forgeheart=锻心 Gaslight=惑光 Genostitched=缝生 Gravemaw=墓喉 Heavenly=天界
# Hexweaver=咒织 Kindlekin=薪火 Lightless=无光 Lyria=莉里亚 Manacle=铁镣
# Mechination=机谋 Mimicrypt=拟墓 Paperbound=纸缚 Powderkeg=药桶 Redactor=涂墨
# Sacrilegion=渎圣军 Sleightwind=巧风 Slowburn=慢燃 Snugglet=偎偎兽 Tidebound=缚潮
# Trapline=陷线 Wyldpack=野群
## Abyss Titan
l1 巡视陷阱线
t1 支付2点法力：抽1张卡。
## Trapline Tripwire
n 陷线绊索
l0 绊索
t0 攻击宣言时：支付1点法力；攻击怪兽失去800攻击力，直到本回合结束；然后你可以从手牌盖放1张不同名的“陷线”。
l1 缠住了
t1 改为支付2点法力：它本回合也不能再攻击。
## Trapline Warden
n 陷线看守
l0 布好陷阱线
t0 此卡被召唤时：从你的卡组把1张“陷线”法术以里侧盖放（本回合即可使用）。
l1 覆盖整片山谷
t1 改为支付2点法力：盖放2张。
## Trapline Warm Welcome
n 陷线热情欢迎
l0 热情欢迎
t0 对手召唤怪兽时：支付3点法力；破坏其控制的1只怪兽，然后破坏场上所有相同等级的守备表示怪兽；然后你可以从手牌盖放1张“陷线”。
l1 待得太久的客人
t1 改为支付4点法力：另外，对手在本回合剩余时间内不能特殊召唤。
## Trapline Weaver
n 陷线编织者
l0 织出陷阱线
t0 每回合一次：支付1点法力；从你的手牌把1张“陷线”速攻法术以里侧盖放；抽1张卡。
## Trapline, Season of Snares
n 陷线·套索之季
s 你的墓地有3张以上的卡。费用2点法力。
l0 收获陷阱线
t0 此卡被召唤时：从你的墓地把至多2张“陷线”法术返回手牌。
l1 快速套索
t1 每回合一次，双方回合皆可：支付2点法力；对手控制的1只怪兽本回合不能攻击。
## Trapline, the Patient Jaw
n 陷线·耐心的钢颚
s 你的墓地有4张以上的卡。费用3点法力。
l0 弹起的钢牙
t0 此卡被召唤时：破坏对手控制的1只攻击力2000以下的怪兽。
l1 重置陷阱
t1 每回合一次，双方回合皆可：支付1点法力；从你的手牌把1张“陷线”速攻法术以里侧盖放。
## Trapline, the Silent Season
n 陷线·寂静之季
s 你的墓地有3张以上法术。费用3点法力。
l0 重置每一副套索
t0 此卡被召唤时：从你的墓地把至多2张“陷线”法术以里侧盖放。
l1 寂静的季节
t1 支付2点法力：对手控制的1只怪兽失去500攻击力，直到本回合结束。
## Trophy Hunter
n 战利品猎人
l0 正当猎物
t0 每回合一次，此卡在战斗中破坏怪兽时：抽1张卡。
## Twin Wyrms of the Dragon Shrine
n 龙祠双子龙
l0 门前双龙
t0 此卡被召唤时，你控制其他怪兽的场合：抽1张卡。
l1 唤醒另一条
t1 每回合一次——支付2点法力：从你的墓地特殊召唤1只1级龙族怪兽；它永久获得200守备力。
## Two Birds, One Stone
n 一石二鸟
## Vampiric Chalice
n 吸血圣杯
l0 猩红税
t0 在你的准备阶段：你可以对对手造成200点伤害，你获得200 LP。
## Velvet Rope
n 天鹅绒围栏
l0 不在名单上
t0 支付2点法力：对手在本回合剩余时间内不能特殊召唤。
l1 着装要求
t1 改为支付3点法力：另外，其控制的1只怪兽本回合不能攻击。
## Vess the Scrivener
n 抄写员维丝
l0 重写羊皮卷
t0 每回合一次：你可以支付2点法力并丢弃1张卡；抽2张卡。
## Vetch, Who Never Forgets a Face
n 过目不忘的维奇
l0 过目不忘
t0 此卡被召唤时：在对手控制的1只攻击力1500以下的怪兽上设置1点留置。
l1 人群中的一张脸
t1 支付1点法力并丢弃此卡：在对手控制的1只怪兽上设置1点留置。
## Void Exchange
n 虚空交换
l0 虚空交换
t0 从你的墓地放逐1张卡；抽2张卡。
## Volte-Face
n 急转身
l0 向后转
t0 此卡改变表示形式时：抽1张卡。
l1 双重转身
t1 支付1点法力：此卡本回合可以额外改变一次表示形式。
## Vow of Poverty
n 清贫誓愿
## War Banner
n 战旗
l0 战吼
t0 每回合一次：你可以支付1点法力；你的1只怪兽获得300攻击力，直到本回合结束。
## Warden of the Reliquary
n 圣物库典狱者
## Warhorn of the Ancients
n 先祖战号
l0 吹响先祖的召唤
t0 你可以支付4点法力：从你的手牌特殊召唤1只2级怪兽。
## Weather Eye
n 观天眼
l0 观天眼
t0 此卡被召唤时：翻开你卡组顶的1张卡；你可以把它放到卡组底。
l1 风暴预警
t1 改为支付1点法力：之后另外抽1张卡。
## Wenna, Who Waits Outside
n 在门外等候的温娜
l0 门外守候
t0 手牌·从你的手牌放逐此卡，然后从任意放逐区把1只攻击力2000以下的怪兽特殊召唤到你的场上。
## What Falls From Their Hand
n 从他们手中掉落之物
l0 掉落之物
t0 支付3点法力：随机翻开对手的1张手牌。是怪兽的场合，特殊召唤到你的场上；否则送入墓地。
## Woven Fate
n 织就的命运
l0 纠缠的命运
t0 以对手控制的1只怪兽为目标；它失去600攻击力，直到本回合结束。
l1 重织的命运
t1 以对手控制的1只怪兽为目标；它失去600攻击力，直到本回合结束，然后从你的卡组盖放1张“咒织”法术。
## Wren, Who Learns by Watching
n 边看边学的伦恩
l0 边看边学
t0 每回合一次：你可以支付2点法力；以场上1只怪兽为目标；此卡的攻击力与守备力变为与其相同，直到结束阶段。
## Wyldpack Alpha
n 野群头狼
l0 倾巢而出
t0 此卡是被特殊召唤的场合：你可以从手牌特殊召唤至多2只“野群”怪兽。
l1 头狼的号令
t1 你可以支付3点法力：以你控制的1只“野群”怪兽为目标；它本回合可以额外攻击一次。
## Wyldpack Bare Fangs
n 野群龇牙
l0 龇牙
t0 你控制的1只“野群”怪兽获得500攻击力，直到本回合结束。
l1 全都亮出獠牙
t1 改为支付2点法力：至多3只获得400攻击力，直到本回合结束。
## Wyldpack Cub
n 野群幼崽
l0 兴奋的吠叫
t0 此卡被召唤时：你可以从卡组把1只“野群”怪兽加入手牌。
## Wyldpack Denmother
n 野群窝穴之母
l0 召集幼崽
t0 此卡被召唤时：你可以从你的墓地特殊召唤1只1级“野群”怪兽。
l1 整窝幼崽
t1 改为支付2点法力：至多2只。
## Wyldpack Fetch
n 野群衔回
l0 去捡！
t0 此卡被召唤时：从你的墓地把1只“野群”怪兽返回手牌。
l1 好狗狗
t1 改为支付2点法力：从你的墓地把任意1只野兽族怪兽返回手牌。
## Wyldpack Full Moon
n 野群满月
l0 满月
t0 从你的墓地特殊召唤至多2只“野群”怪兽。
l1 血月
t1 改为支付4点法力：它们永久获得300攻击力。
## Wyldpack Hackles
n 野群竖毛
l0 毛发倒竖
t0 支付1点法力：你控制的1只“野群”怪兽获得700攻击力，直到本回合结束。
l1 全群炸毛
t1 改为支付2点法力：你控制的至多5只“野群”怪兽获得400攻击力，直到本回合结束。
## Wyldpack Howler
n 野群嚎叫者
l0 集结嚎叫
t0 此卡被通常召唤的场合：你可以从手牌特殊召唤1只1级“野群”怪兽。
## Wyldpack Hunting Grounds
n 野群猎场
l0 追踪倒下者
t0 每回合一次——支付2点法力：从你的墓地把1只“野群”怪兽加入手牌。
## Wyldpack Loneshadow
n 野群独影
l0 与群同奔
t0 此卡被召唤时，你控制3只以上怪兽的场合：此卡获得400攻击力，直到本回合结束。
## Wyldpack Matriarch
n 野群母首领
l0 领队
t0 此卡被召唤时：你可以从手牌特殊召唤1只1级“野群”怪兽。
l1 召集幼崽
t1 你可以支付2点法力：从你的卡组把1只“野群”怪兽加入手牌。
## Wyldpack Off the Leash
n 野群挣脱束缚
l0 挣脱项圈
t0 支付2点法力：你控制的至多5只野兽族怪兽获得400攻击力，直到本回合结束。
l1 再也不回去
t1 改为支付4点法力：你控制的至多5只野兽族怪兽永久获得400攻击力。
## Wyldpack Stalker
n 野群潜行者
l0 穷追不舍
t0 此卡是被特殊召唤的场合，你可以支付1点法力：对手控制的1只怪兽永久失去400攻击力。
## Wyldpack Top Dog
n 野群头号猛犬
l0 头狼的份额
t0 每回合一次：支付1点法力；你控制的1只“野群”怪兽永久获得300攻击力。
## Wyldpack Underdog
n 野群落水狗
l0 逆袭故事
t0 此卡被召唤时，对手控制的怪兽比你多的场合：抽1张卡。
l1 逆天改命
t1 改为支付1点法力：改为抽2张卡。
## Wyldpack Ur-Alpha
n 野群始祖头狼
s 你控制3只以上“野群”怪兽。费用2点法力。
l0 万古嚎叫
t0 此卡被召唤时：你控制的所有“野群”怪兽获得300攻击力，直到本回合结束，且此卡本回合可以额外攻击一次。
## Wyldpack, the First Howl
n 野群·最初的嚎叫
s 你控制3只以上“野群”怪兽。费用3点法力。
l0 最初的嚎叫
t0 此卡被召唤时：从你的墓地特殊召唤至多2只1级“野群”怪兽；你控制的所有“野群”怪兽获得300攻击力，直到本回合结束。
l1 回应呼唤
t1 支付3点法力：你控制的1只“野群”怪兽本回合可以攻击两次。
## Wyrm Eternal, Shrine Ascendant
n 永恒巨龙·龙祠飞升
s 你控制“龙祠”怪兽。费用3点法力。
l0 龙祠腾起
t0 此卡被召唤时：从你的墓地特殊召唤1只龙族怪兽，你控制的所有龙族怪兽获得300攻击力，直到本回合结束。
## Yard Sentence
n 放风时间
l0 放风时间
t0 支付1点法力：从你的卡组把1只攻击力低于2000的怪兽送入墓地，然后获得1点法力。
l1 重刑
t1 改为支付3点法力：送入2只任意数值的怪兽，但不获得法力。
# ---------- Road to 1000 (0.1.7) ----------
## The Crown of the Absent King
n 缺席之王的王冠
l0 加冕
t0 自己的准备阶段开始时，若你控制着「缺席之王的王冠」「缺席之王的权杖」「缺席之王的宝球」：你赢得这场决斗。
l1 守住王冠
t1 支付2魔力：这张卡本回合不会被破坏。
## The Sceptre of the Absent King
n 缺席之王的权杖
l0 加冕
t0 自己的准备阶段开始时，若你控制着「缺席之王的王冠」「缺席之王的权杖」「缺席之王的宝球」：你赢得这场决斗。
l1 无人起身
t1 1回合1次：对手的1只怪兽直到回合结束攻击力降低300。
l2 谁都不许
t2 支付2魔力：改为选对手至多2只怪兽，直到回合结束各降低300攻击力。
## The Orb of the Absent King
n 缺席之王的宝球
l0 加冕
t0 自己的准备阶段开始时，若你控制着「缺席之王的王冠」「缺席之王的权杖」「缺席之王的宝球」：你赢得这场决斗。
l1 王国长存
t1 自己的准备阶段：回复300LP。
l2 托管保管
t2 支付2魔力：把你墓地的1张卡洗回卡组。
## The Regent Who Keeps the Throne Warm
n 为王暖座的摄政
l0 看住座位
t0 这张卡被召唤时：从卡组把1只攻击力0的怪兽加入手牌。
l1 暖热座位
t1 支付2魔力：改为将其特殊召唤——其效果直到结束阶段无效，且本回合不能攻击。
## Long Live the King
n 国王万岁
l0 国王万岁
t0 支付2魔力：从你的墓地以守备表示特殊召唤1只攻击力0的怪兽。
l1 愿其长治
t1 改为支付4魔力：它本回合还不会被破坏。
## Bricklayer of the Eleventh Hour
n 最后关头的砌砖匠
l0 再砌一层
t0 这张卡被召唤时：只要这张卡表侧存在，封印对手1个空的怪兽区域。
l1 把他们砌进墙里
t1 支付2魔力：改为封印至多2个。
## The Squatter, Uninvited
n 不请自来的占屋者
l0 搬家完成
t0 若这张卡是被特殊召唤的：抽1张卡。
## No Room at the Inn
n 客栈客满
l0 客栈客满
t0 支付2魔力：封印对手至多2个空的怪兽区域，直到你的下个回合结束。
l1 连马厩也没有
t1 改为支付4魔力：封印至多3个，并抽1张卡。
## Condemned Premises
n 查封的房产
l0 查封的房产
t0 支付2魔力：封印场上任意一方1个空的怪兽区域，直到你的下个回合结束。
l1 查封的街区
t1 改为支付3魔力：封印2个区域。
## The Bricked-Up Door
n 砌死的门
l0 一砖一瓦
t0 1回合1次——支付1魔力：封印任意一方1个空的怪兽区域，直到你的下个回合结束。
l1 封死整个侧翼
t1 支付2魔力：改为封印2个区域。
## The Landlord's Own Padlock
n 房东的挂锁
l0 再加一把锁
t0 支付2魔力：封印任意一方1个空的怪兽区域，直到你的下个回合结束。
## Gravedigger's First Shift
n 掘墓人的头班
l0 破土动工
t0 这张卡被召唤时：把你卡组最上方的卡送去墓地。
l1 挖指定的坑
t1 支付1魔力：由你自选那张卡——从卡组把1张卡送去墓地。
## Echo of the Latest Loss
n 最近失去者的回响
l0 让那边的坟安静
t0 支付2魔力：除外对手墓地最上方的卡。
## He Sleeps Lightly
n 他睡得很浅
l0 浅眠者
t0 只要这张卡是你墓地最上方的卡——支付2魔力：将其特殊召唤。本回合不能攻击。
## Last In, First Out
n 后进先出
l0 后进先出
t0 支付1魔力：把你墓地最上方的卡加入手牌。
l1 复式记账
t1 改为支付3魔力：最上方2张。
## The Fresh Grave
n 新坟
l0 新坟
t0 支付2魔力：若你墓地最上方的卡是2星以下的怪兽，将其特殊召唤。
l1 最新的坟
t1 改为支付4魔力：星级不限——它本回合不能攻击。
## Buried With His Boots On
n 穿着靴子下葬
l0 穿着靴子下葬
t0 支付2魔力。若本回合你的怪兽被破坏过：把你墓地最上方的怪兽卡以背面守备表示特殊召唤。
l1 连帽子也一起
t1 改为支付3魔力：再抽1张卡。
## The Unquiet Topsoil
n 不安分的表土
l0 翻土
t0 1回合1次：把你墓地最上方的卡放到墓地最下方。
l1 新土
t1 支付2魔力：把你卡组最上方的卡送去墓地。
## A Foot in the Door
n 一脚踏进门
l0 一脚踏进门
t0 支付1魔力：你本回合的下一次通常召唤少需要1个祭品。
l1 双脚踏入
t1 改为支付3魔力：不需要祭品。
## The Promotion Board
n 晋升委员会
l0 晋升
t0 1回合1次——支付2魔力：你控制的1只怪兽永久上升1星（最高3星）。
l1 荣誉晋升
t1 支付3魔力：晋升1只怪兽，然后抽1张卡。
## Demoted for Cause
n 记过降职
l0 记过降职
t0 支付2魔力：场上1只怪兽直到结束阶段变为1星。
l1 集体降职
t1 改为支付3魔力：至多2只。
## Cut Down to Size
n 打回原形
l0 打回原形
t0 支付2魔力：破坏1只星级低于其控制者所控怪兽数量的怪兽。
l1 全都打回原形
t1 改为支付4魔力：破坏至多2只这样的怪兽。
## Stuck on the Middle Rung
n 卡在中间的横档
l0 哪一档都行
t0 支付2魔力：这张卡直到结束阶段变为你选择的星级（1～3）。
## The Overqualified Doorman
n 大材小用的门卫
l0 名单上没有您
t0 这张卡被召唤时：对手的1只怪兽直到结束阶段变为1星。
l1 更糟的门都见过
t1 1回合1次——支付2魔力：这张卡本回合不会被破坏。
## The Ink Still Wet
n 墨迹未干
l0 墨迹未干
t0 支付1魔力：查看你卡组最上方的3张卡，以任意顺序放回。
l1 再读一遍
t1 改为支付2魔力：重新排列后，抽1张卡。
## The Day After Tomorrow's News
n 后天的新闻
l0 明天的新闻
t0 支付2魔力：查看对手卡组最上方的2张卡，以任意顺序放回。
l1 完整版面
t1 改为支付4魔力：最上方3张。
## The Self-Fulfilling Prophecy
n 自我实现的预言
l0 预言
t0 支付2魔力：翻开你卡组最上方的卡。若是2星以下的怪兽则将其特殊召唤；否则送去墓地。
l1 更大的预言
t1 改为支付4魔力：星级不限——被召唤的怪兽本回合不能攻击。
## She Reads the Weather in Entrails
n 用内脏占天气的女人
l0 读征兆
t0 这张卡被召唤时：翻开你卡组最上方的卡；你可以把它放到卡组最下方。
l1 读他们的征兆
t1 支付2魔力：对对手的卡组做同样的事。
## The Calendar's Last Page
n 日历的最后一页
l0 最后一页翻过
t0 这张卡被召唤时：抽2张卡，然后把1张手牌放到卡组最下方。
l1 撕下明天
t1 支付3魔力：翻开你卡组最上方的2张卡；把其中的怪兽全部加入手牌。
## The Appointed Hour
n 约定的时刻
l0 时刻已到
t0 最后1个时刻指示物被移去时：抽2张卡，本回合获得2魔力，并把对手控制的至多1张卡返回手牌。然后破坏这张卡。
l1 拨快时钟
t1 1回合1次——支付2魔力：额外移去1个时刻指示物。
## Ink for the Third Edition
n 第三版的墨水
l0 第三版的墨水
t0 支付1魔力：把1张手牌放到卡组最上方；抽1张卡。
l1 校对样张
t1 改为支付2魔力：之后翻开你卡组最上方的卡；你可以把它放到最下方。
## He Who Leads With His Shoulder
n 用肩膀开路的人
l0 全身压上
t0 支付2魔力：这张卡直到回合结束守备力上升300。
## The Vault's Own Doorframe
n 宝库自己的门框
l0 撑住侧翼
t0 支付3魔力：与这张卡相邻的你的怪兽直到回合结束守备力上升400。
## Doorstop Made of Dragon Bone
n 龙骨门挡
l0 给裂缝上夹板
t0 1回合1次——支付1魔力：这张卡永久上升300守备力。
## Lead With the Shield
n 盾牌开路
l0 盾牌开路
t0 支付1魔力：你控制的1只怪兽直到回合结束以守备力进行攻击。
l1 盾墙推进
t1 改为支付3魔力：至多3只——它们还各上升200守备力直到回合结束。
## An Honest Man's Bluff
n 老实人的虚张声势
l0 老实人的虚张声势
t0 支付1魔力：亮出你的手牌。若其中没有法术，抽2张卡；否则抽1张。
l1 袖子里什么都没有
t1 改为支付2魔力：之后你可以把1张手牌放到卡组最下方。
## The Beggar Who Shows His Purse
n 亮出钱袋的乞丐
l0 空空的钱袋
t0 这张卡被召唤时：亮出你的手牌。若手牌为空，抽2张卡。
l1 也给我看看你的
t1 支付1魔力：对手随机亮出1张手牌。
## The Transparent Man
n 透明人
l0 无可隐瞒
t0 这张卡被召唤时：亮出你的手牌；每亮出1只怪兽，这张卡永久上升200攻击力。
l1 尽管看穿
t1 支付2魔力：这张卡本回合不会成为对手效果的对象。
## Everything Above Board
n 全摆上台面
l0 全摆上台面
t0 支付2魔力：双方亮出手牌。若对手手牌比你多，抽1张卡。
l1 你那边的台面
t1 改为支付3魔力：只有对手亮牌——抽卡条件相同。
## The Thousandth Card
n 第一千张卡
l0 千中之一
t0 这张卡被召唤时：抽1张卡。
l1 回到千张之中
t1 一场决斗1次——支付1魔力：把这张卡洗回卡组；抽2张卡。
## Countersign
n 会签
l0 会签
t0 支付2魔力：对手本回合下一次发动的法术费用增加2魔力。
l1 公证完毕
t1 改为支付3魔力：费用增加3，且你抽1张卡。
## Eviction Notice
n 逐客令
l0 逐客令
t0 支付1魔力：把1只不能攻击的怪兽返回持有者手牌。
l1 清空整栋楼
t1 改为支付3魔力：至多2只这样的怪兽。
## Wrong Queue, Sir
n 先生，您排错队了
l0 先生，您排错队了
t0 支付2魔力：把对手的1只怪兽移动到其场上另一个空的怪兽区域（由你选择）。
l1 全都排错了队
t1 改为支付3魔力：移动至多2只。
## The Turntable
n 转盘
l0 转盘
t0 支付2魔力：把你的全部怪兽向左或向右移动一格（没有空位的留在原地）。
l1 再转一圈
t1 改为支付3魔力：若有3只以上怪兽移动了，抽1张卡。
## Settle the Difference
n 抹平差距
l0 抹平差距
t0 一场决斗1次。支付3魔力：双方的LP变为两者中较低的数值。
l1 零头不用找了
t1 改为支付5魔力：之后你回复1000LP。
## The Even Scales
n 持平的天平
l0 向我倾斜
t0 支付2魔力：回复相当于双方LP差一半的LP（最多1000）。
## First Mover's Advantage
n 先手优势
l0 先手优势
t0 仅限决斗中你的第一个回合——支付1魔力：本回合获得2魔力。
l1 节奏小偷
t1 改为支付2魔力：再抽1张卡。
## The Standing Order
n 长期委托
l0 透支
t0 1回合1次——支付2魔力：把你卡组最上方的卡送去墓地。
## Two Truths and a Lie
n 两真一假
l0 两真一假
t0 支付2魔力：从手牌把至多3只怪兽以背面守备表示放置。
l1 外加一个眨眼
t1 改为支付3魔力：第1只之后每放置1只怪兽，抽1张卡。
## Making Ends Meet
n 勉强度日
l0 勉强度日
t0 支付1魔力。若你控制的怪兽在1只以下：本回合获得2魔力。
l1 再省一省
t1 改为支付2魔力：之后若手牌在3张以下，再抽1张卡。
# ---------- 5 Archetypes (0.1.7) ----------
## Giftwyrm Ribboncoil
n 赠礼蠕虫·缎带卷
l0 退回寄件人
t0 这张卡在对手控制期间被送去墓地时：抽1张卡。
## Giftwyrm Sweettooth
n 赠礼蠕虫·嗜甜者
l0 啃咬声
t0 这张卡的控制者的结束阶段，只要对手控制着它：你的下个回合额外获得1魔力。
## Giftwyrm Prettybow
n 赠礼蠕虫·美丽蝴蝶结
## Giftwyrm Unboxed
n 赠礼蠕虫·已拆封
l0 它孵化了
t0 这张卡在对手控制期间被送去墓地时：你可以把它特殊召唤到你的场上。
## Giftwyrm Registry
n 赠礼蠕虫礼品清单
l0 名列清单
t0 支付2魔力：从卡组把1只「赠礼蠕虫」怪兽特殊召唤到对手场上。
l1 完整清单
t1 改为支付4魔力：名字不同的2只。
## Giftwyrm Thank-You Note
n 赠礼蠕虫感谢卡
l0 诚挚的问候
t0 支付1魔力：对手每控制1只「赠礼蠕虫」怪兽，抽1张卡（最多3张）。
l1 深表谢意
t1 改为支付2魔力：再从你的墓地把1张「赠礼蠕虫」卡加入手牌。
## Giftwyrm Molting
n 赠礼蠕虫蜕皮
l0 蜕皮
t0 支付2魔力：把对手控制的你的「赠礼蠕虫」怪兽至多2只拿回你的场上；它们本回合可以攻击。
l1 饥饿的蜕皮
t1 改为支付4魔力：它们还各上升500攻击力直到回合结束。
## Giftwyrm Hollowshell
n 赠礼蠕虫·空壳
l0 里面装的东西
t0 这张卡被召唤时：对手每控制1只「赠礼蠕虫」，对手的1只怪兽直到回合结束攻击力降低400。
## Giftwyrm, Ungrateful Guest
n 赠礼蠕虫·忘恩负义的客人
s 对手控制着「赠礼蠕虫」怪兽——支付2魔力。
l0 给主人的伴手礼
t0 这张卡被召唤时：从你的墓地把1只「赠礼蠕虫」怪兽特殊召唤到对手场上。
l1 赖着不走
t1 支付2魔力：对手的1只怪兽本回合不能攻击。
## Giftwyrm, the Whole Hamper
n 赠礼蠕虫·整篮大礼
s 对手控制着2只以上「赠礼蠕虫」怪兽——支付3魔力。
l0 礼篮迸裂
t0 这张卡被召唤时：把对手场上你的全部「赠礼蠕虫」怪兽拿回你的场上；它们直到回合结束上升300攻击力，且本回合可以攻击。
## Splithoof Doorknocker
n 裂蹄·敲门客
l0 有人敲门
t0 这张卡被召唤时——交易，对手选择：他随机舍弃1张手牌，或你抽1张卡。
## Splithoof Pennyweight
n 裂蹄·小砝码
l0 拇指压秤
t0 1回合1次——交易，对手选择：你本回合获得1魔力，或你抽1张卡。
## Splithoof Grinning Ledger
n 裂蹄的窃笑账本
l0 开门营业
t0 双方玩家各可1回合1次发动——支付1魔力：抽1张卡。若发动者是你的对手，你的下个回合额外获得1魔力。
## Splithoof Hagglehorn
n 裂蹄·讨价还价之角
l0 讨价还价时刻
t0 这张卡被召唤时——交易，对手选择：由商人指定的他控制的1只怪兽永久降低500攻击力，或你从卡组特殊召唤1只1星「裂蹄」怪兽。
## Splithoof Sign Here
n 裂蹄：请在此签名
l0 请在此签名
t0 对手怪兽攻击时支付2魔力——交易，对手选择：攻击被中止，或攻击继续、之后他随机舍弃2张手牌。
## Splithoof Repossession
n 裂蹄查封
l0 查封
t0 支付2魔力：在对手的1只怪兽上放置2的抵押（其控制者的每个准备阶段：支付2魔力，否则它被破坏）；抽1张卡。
l1 利滚利
t1 改为支付3魔力：3的抵押。
## Splithoof Fiddle Wager
n 裂蹄的提琴赌局
l0 提琴赌局
t0 支付1魔力：双方翻开各自卡组最上方的卡。星级较高者（非怪兽计为0）把自己的卡加入手牌；另一张送去其持有者的墓地。平局则都留在原处。
l1 恶魔亲奏的曲子
t1 改为支付2魔力：若你的卡获胜，再抽1张卡。
## Splithoof Collections Imp
n 裂蹄·讨债小鬼
l0 逾期未付
t0 这张卡被召唤时：把对手1只怪兽的抵押提高1。
## Splithoof, Fair and Square
n 裂蹄·光明正大
s 本回合有交易成立——支付2魔力。
l0 细读小字条款
t0 这张卡被召唤时——交易，对手选择：你抽1张卡，或双方最强的怪兽永久交换控制权。
## Splithoof, the Better Bargain
n 裂蹄·更划算的买卖
s 本场决斗中已成立3次以上交易——支付3魔力。
l0 最终报价
t0 这张卡被召唤时——交易，对手选择：你抽3张卡，或他把自己控制的最强怪兽送去墓地。
l1 加点甜头
t1 1回合1次——支付2魔力（快速）——交易，对手选择：你指定的1只怪兽直到回合结束上升700攻击力，或你抽1张卡。
## Waylay Hedgeknife
n 拦路者·树篱刀
l0 从树篱中杀出
t0 埋伏——对手召唤怪兽时：你可以把这张卡从手牌特殊召唤（在反应窗口中）。然后对手的1只怪兽直到回合结束攻击力降低300。
## Waylay Roadthorn
n 拦路者·路上荆棘
l0 路上的刺
t0 埋伏——对手怪兽攻击时：你可以把这张卡从手牌特殊召唤。然后攻击怪兽直到回合结束攻击力降低500。
## Waylay Tollgate
n 拦路者收费闸
l0 清点买路钱
t0 支付1魔力（1回合1次）：若对手本回合攻击过，抽1张卡。
## Waylay Highwayman
n 拦路者·大道强盗
l0 钱包还是脸面
t0 埋伏——对手怪兽攻击时：你可以把这张卡从手牌特殊召唤。然后抽1张卡。
l1 此路不通
t1 支付2魔力：对手的1只怪兽本回合不能攻击。
## Stand and Deliver!
n 留下买路财！
l0 留下买路财！
t0 对手怪兽攻击时支付2魔力：攻击被中止；抽1张卡。
l1 帽子也留下
t1 改为支付3魔力：攻击怪兽还永久降低300攻击力。
## Waylay Mislead
n 拦路者：假足迹
l0 假足迹
t0 支付1魔力：把对手的1只怪兽移动到其场上另一个空的怪兽区域（由你选择）；它本回合不能攻击。
l1 引入密林
t1 改为支付2魔力：至多2只——它们本回合不能攻击。
## Waylay Campfire Fence
n 拦路者·篝火销赃人
l0 赃物分红
t0 这张卡被召唤时：抽1张卡。
## Waylay Nightparcel
n 拦路者·夜行包裹
l0 不速之递
t0 埋伏——对手回合中，在任意反应窗口支付2魔力：把这张卡从手牌特殊召唤。
## Waylay, First Out of the Bushes
n 拦路者·灌木丛中第一人
s 对手在本回合或上回合攻击过——支付2魔力。
l0 分赃
t0 这张卡被召唤时：从你的墓地把1只「拦路者」怪兽加入手牌。
## Waylay, King of the Crossroads
n 拦路者·十字路口之王
s 你的墓地有3张以上「拦路者」卡——支付3魔力。
l0 条条大路归我
t0 这张卡被召唤时：从你的墓地特殊召唤至多2只「拦路者」怪兽；它们本回合不能攻击。
l1 路口伏击
t1 支付2魔力（快速，仅限对手回合）：对手的全部表侧怪兽直到回合结束攻击力降低400。
## Bylaw Filing Clerk
n 法务档案员
l0 正规渠道
t0 这张卡被召唤时：从卡组把1个「Bylaw:」神器加入手牌。
l1 加急办理
t1 支付2魔力：改为将其直接放置到场上。
## Bylaw: Quiet Hours
n 法令：安静时段
## Bylaw: Show of Hands
n 法令：亮出手牌
## Bylaw: Standing Room Only
n 法令：满员限入
## Bylaw Enforcer
n 法务执行官
## Bylaw Ombudsman
n 法务调查专员
l0 提交申诉
t0 1回合1次——支付2魔力（快速）：使任意一方场上1个神器的效果无效直到回合结束。
## Bylaw Loophole
n 法务空子
l0 钻空子
t0 支付2魔力：选择场上1个「Bylaw:」法令——其规则本回合对你不生效。
l1 第12条b款
t1 改为支付3魔力：至多2个法令。
## Bylaw Red Tape
n 法务繁文缛节
l0 表格B-27
t0 支付1魔力：对手本回合下一次发动的法术费用增加2魔力。
l1 一式三份
t1 改为支付2魔力：……且你抽1张卡。
## Bylaw, Acting Chairwoman
n 法务代理主席
s 你控制着神器——支付2魔力。
l0 会议开始
t0 这张卡被召唤时：从卡组把1个「Bylaw:」法令放置到场上。
## Bylaw, the Letter of the Law
n 法务·法律条文本身
s 你控制着2个以上神器——支付3魔力。
l0 动议通过
t0 支付2魔力：从卡组把1个「Bylaw:」法令放置到场上。
## Chimekeep Windup Chorister
n 钟楼卫·发条唱诗童
l0 终于唱出第一句
t0 最后1个时刻指示物被移去时：抽1张卡；这张卡永久上升400攻击力。
## Chimekeep Bellringer
n 钟楼卫·敲钟人
l0 提前敲响
t0 这张卡被召唤时：从你的1张卡上移去1个时刻指示物。
l1 群钟齐鸣
